source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
uberon	UBERON:0000017	exocrine pancreas	skos:exactMatch	mesh	D046790	Pancreas, Exocrine	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0000105	life cycle stage	skos:exactMatch	mesh	D008018	Life Cycle Stages	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0000120	blood brain barrier	skos:exactMatch	mesh	D001812	Blood-Brain Barrier	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0000127	facial nucleus	skos:exactMatch	mesh	D065828	Facial Nucleus	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0000159	anal canal	skos:exactMatch	mesh	D001003	Anal Canal	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0000175	pleural effusion	skos:exactMatch	mesh	D010996	Pleural Effusion	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0000220	atlanto-occipital joint	skos:exactMatch	mesh	D001269	Atlanto-Occipital Joint	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0000387	meniscus	skos:exactMatch	mesh	D000072600	Meniscus	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0000569	ileocecal valve	skos:exactMatch	mesh	D007080	Ileocecal Valve	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0000939	imaginal disc	skos:exactMatch	mesh	D060227	Imaginal Discs	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001049	neural tube	skos:exactMatch	mesh	D054259	Neural Tube	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001156	ascending colon	skos:exactMatch	mesh	D044682	Colon, Ascending	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001157	transverse colon	skos:exactMatch	mesh	D044684	Colon, Transverse	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001158	descending colon	skos:exactMatch	mesh	D044683	Colon, Descending	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001347	white adipose tissue	skos:exactMatch	mesh	D052436	Adipose Tissue, White	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001473	lymphatic vessel	skos:exactMatch	mesh	D042601	Lymphatic Vessels	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001642	superior sagittal sinus	skos:exactMatch	mesh	D054063	Superior Sagittal Sinus	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001715	oculomotor nuclear complex	skos:exactMatch	mesh	D065838	Oculomotor Nuclear Complex	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001806	sympathetic ganglion	skos:exactMatch	mesh	D005728	Ganglia, Sympathetic	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001808	parasympathetic ganglion	skos:exactMatch	mesh	D005726	Ganglia, Parasympathetic	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001823	nasal cartilage	skos:exactMatch	mesh	D055171	Nasal Cartilages	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001856	semicircular duct	skos:exactMatch	mesh	D054776	Semicircular Ducts	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001862	vestibular labyrinth	skos:exactMatch	mesh	D014722	Vestibule, Labyrinth	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001863	scala vestibuli	skos:exactMatch	mesh	D054738	Scala Vestibuli	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001883	olfactory tubercle	skos:exactMatch	mesh	D066208	Olfactory Tubercle	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001907	zona incerta	skos:exactMatch	mesh	D065820	Zona Incerta	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001944	pretectal region	skos:exactMatch	mesh	D066250	Pretectal Region	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001977	blood serum	skos:exactMatch	mesh	D044967	Serum	manually_reviewed	orcid:0000-0001-9439-5346
uberon	UBERON:0001995	fibrocartilage	skos:exactMatch	mesh	D051445	Fibrocartilage	manually_reviewed	orcid:0000-0001-9439-5346
